TagName,DateTime,Value,vValue,StartDateTime
MRS_CCTV.cameras_total_number,2/1/2026 12:44:18 PM,3539,3539,2/1/2026 12:44:18 PM
MRS_CCTV.cameras_total_number,2/9/2026 11:10:36 PM,3542,3542,2/9/2026 11:10:36 PM
MRS_CCTV.cameras_total_number,2/12/2026 3:36:08 PM,(null),(null),2/12/2026 3:36:08 PM
MRS_CCTV.cameras_total_number,2/12/2026 3:36:08 PM,3539,3539,2/12/2026 3:36:08 PM
MRS_CCTV.cameras_total_number,2/12/2026 3:36:08 PM,3542,3542,2/12/2026 3:36:08 PM
MRS_CCTV.cameras_total_number,2/12/2026 3:36:08 PM,3542,3542,2/12/2026 3:36:08 PM
MRS_CCTV.cameras_total_number,2/19/2026 1:01:06 AM,3542,3542,2/19/2026 1:01:06 AM
MRS_CCTV.cameras_total_number,2/19/2026 1:33:46 AM,3542,3542,2/19/2026 1:33:46 AM
MRS_CCTV.cameras_total_number,2/24/2026 7:36:13 AM,3558,3558,2/24/2026 7:36:13 AM
MRS_CCTV.cameras_total_number,2/24/2026 1:23:21 PM,3558,3558,2/24/2026 1:23:21 PM
MRS_CCTV.cameras_total_number,3/4/2026 3:29:57 PM,3558,3558,3/4/2026 3:29:57 PM
MRS_CCTV.cameras_total_number,3/11/2026 4:25:11 AM,3561,3561,3/11/2026 4:25:11 AM
MRS_CCTV.cameras_total_number,3/15/2026 7:15:52 PM,(null),(null),3/15/2026 7:15:52 PM
MRS_CCTV.cameras_total_number,3/15/2026 7:15:52 PM,3561,3561,3/15/2026 7:15:52 PM
MRS_CCTV.cameras_total_number,3/16/2026 3:16:06 PM,3534,3534,3/16/2026 3:16:06 PM
MRS_CCTV.cameras_total_number,3/17/2026 1:42:50 PM,3534,3534,3/17/2026 1:42:50 PM
MRS_CCTV.cameras_total_number,3/17/2026 1:42:50 PM,3534,3534,3/17/2026 1:42:50 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,(null),(null),3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/18/2026 1:09:43 PM,3534,3534,3/18/2026 1:09:43 PM
MRS_CCTV.cameras_total_number,3/20/2026 7:06:19 PM,3534,3534,3/20/2026 7:06:19 PM
MRS_CCTV.cameras_total_number,3/20/2026 7:30:17 PM,3534,3534,3/20/2026 7:30:17 PM
MRS_CCTV.cameras_total_number,3/20/2026 8:05:48 PM,3534,3534,3/20/2026 8:05:48 PM
MRS_CCTV.cameras_total_number,3/20/2026 8:45:49 PM,3534,3534,3/20/2026 8:45:49 PM
MRS_CCTV.cameras_total_number,3/20/2026 9:26:49 PM,3534,3534,3/20/2026 9:26:49 PM
MRS_CCTV.cameras_total_number,3/20/2026 9:26:49 PM,3534,3534,3/20/2026 9:26:49 PM
MRS_CCTV.cameras_total_number,3/20/2026 10:04:20 PM,3534,3534,3/20/2026 10:04:20 PM
MRS_CCTV.cameras_total_number,3/20/2026 10:04:20 PM,3534,3534,3/20/2026 10:04:20 PM
MRS_CCTV.cameras_total_number,3/20/2026 10:47:50 PM,3534,3534,3/20/2026 10:47:50 PM
MRS_CCTV.cameras_total_number,3/20/2026 11:20:51 PM,3534,3534,3/20/2026 11:20:51 PM
MRS_CCTV.cameras_total_number,3/20/2026 11:34:51 PM,3534,3534,3/20/2026 11:34:51 PM
MRS_CCTV.cameras_total_number,3/20/2026 11:49:21 PM,3534,3534,3/20/2026 11:49:21 PM
MRS_CCTV.cameras_total_number,3/20/2026 11:49:21 PM,3534,3534,3/20/2026 11:49:21 PM
MRS_CCTV.cameras_total_number,3/21/2026 12:02:22 AM,3534,3534,3/21/2026 12:02:22 AM
MRS_CCTV.cameras_total_number,3/21/2026 12:14:52 AM,3534,3534,3/21/2026 12:14:52 AM
MRS_CCTV.cameras_total_number,3/21/2026 12:14:52 AM,3534,3534,3/21/2026 12:14:52 AM
MRS_CCTV.cameras_total_number,3/21/2026 12:46:52 AM,3534,3534,3/21/2026 12:46:52 AM
MRS_CCTV.cameras_total_number,3/21/2026 12:46:52 AM,3534,3534,3/21/2026 12:46:52 AM
MRS_CCTV.cameras_total_number,3/21/2026 12:58:53 AM,3534,3534,3/21/2026 12:58:53 AM
MRS_CCTV.cameras_total_number,3/21/2026 1:50:53 AM,3534,3534,3/21/2026 1:50:53 AM
MRS_CCTV.cameras_total_number,3/21/2026 1:50:53 AM,3534,3534,3/21/2026 1:50:53 AM
MRS_CCTV.cameras_total_number,3/21/2026 2:32:24 AM,3534,3534,3/21/2026 2:32:24 AM
MRS_CCTV.cameras_total_number,3/21/2026 2:32:24 AM,3534,3534,3/21/2026 2:32:24 AM
MRS_CCTV.cameras_total_number,3/21/2026 3:10:25 AM,3534,3534,3/21/2026 3:10:25 AM
MRS_CCTV.cameras_total_number,3/21/2026 3:10:25 AM,3534,3534,3/21/2026 3:10:25 AM
MRS_CCTV.cameras_total_number,3/21/2026 3:58:56 AM,3534,3534,3/21/2026 3:58:56 AM
MRS_CCTV.cameras_total_number,3/21/2026 3:58:56 AM,3534,3534,3/21/2026 3:58:56 AM
MRS_CCTV.cameras_total_number,3/21/2026 4:26:26 AM,3534,3534,3/21/2026 4:26:26 AM
MRS_CCTV.cameras_total_number,3/21/2026 5:16:27 AM,3534,3534,3/21/2026 5:16:27 AM
MRS_CCTV.cameras_total_number,3/21/2026 5:49:58 AM,3534,3534,3/21/2026 5:49:58 AM
MRS_CCTV.cameras_total_number,3/21/2026 5:49:58 AM,3534,3534,3/21/2026 5:49:58 AM
MRS_CCTV.cameras_total_number,3/21/2026 6:30:58 AM,3534,3534,3/21/2026 6:30:58 AM
MRS_CCTV.cameras_total_number,3/21/2026 7:05:59 AM,3534,3534,3/21/2026 7:05:59 AM
MRS_CCTV.cameras_total_number,3/21/2026 7:44:00 AM,3534,3534,3/21/2026 7:44:00 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:27:30 AM,3534,3534,3/21/2026 8:27:30 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:27:30 AM,3534,3534,3/21/2026 8:27:30 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:37:31 AM,3534,3534,3/21/2026 8:37:31 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:45:01 AM,3534,3534,3/21/2026 8:45:01 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:45:01 AM,3534,3534,3/21/2026 8:45:01 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:59:31 AM,3534,3534,3/21/2026 8:59:31 AM
MRS_CCTV.cameras_total_number,3/21/2026 8:59:31 AM,3534,3534,3/21/2026 8:59:31 AM
MRS_CCTV.cameras_total_number,3/21/2026 9:15:31 AM,3534,3534,3/21/2026 9:15:31 AM
MRS_CCTV.cameras_total_number,3/21/2026 9:15:31 AM,3534,3534,3/21/2026 9:15:31 AM
